phone,usage
012-2426-2000,9203.31
012-2426-2001,24372.31
012-2426-2002,8775.95
012-2426-2003,5128.69
012-2426-2004,3861.16
012-2426-2005,3784.99
012-2426-2006,24113.94
012-2426-2007,8856.11
012-2426-2008,18809.47
012-2426-2009,22458.27
012-2426-2010,18034.38
012-2426-2011,6487.28
012-2426-2012,14482.99
012-2426-2013,18629.73
012-2426-2014,20667.78
012-2426-2015,10146.23
012-2426-2016,8505.77
012-2426-2017,16989.4
012-2426-2018,34572.92
012-2426-2019,10779.12
012-2426-2020,13501
012-2426-2021,2752.08
012-2426-2022,214.56
012-2426-2023,6704.98
012-2426-2024,2426.89
012-2426-2025,0
012-2426-2026,14325.17
012-2426-2027,7417.52
012-2426-2028,9036.54
012-2426-2029,4460.72
012-2426-2030,8665.34
012-2426-2031,2165.33
012-2426-2032,6838.62
012-2426-2033,13930.87
012-2426-2034,12731.71
012-2426-2035,21681.21
012-2426-2036,11295.64
012-2426-2037,29106.98
012-2426-2038,1337.65
012-2426-2039,10652.66
012-2426-2040,1894.82
012-2426-2041,2258.63
012-2426-2042,6855.86
012-2426-2043,8768.09
012-2426-2044,21318.96
012-2426-2045,1389.02
012-2426-2046,11050.9
012-2426-2047,8591.42
012-2426-2048,1585.15
012-2426-2049,189.79
012-2426-2050,0
012-2426-2051,4303.1
012-2426-2052,5486.64
012-2426-2053,0
012-2426-2054,0
012-2426-2055,7209.21
012-2426-2056,8605.79
012-2426-2057,5461.12
012-2426-2058,5555.67
012-2426-2059,2754.92
012-2426-2060,6265.28
012-2426-2061,6021.76
012-2426-2062,10256.86
012-2426-2063,11995.47
012-2426-2064,0
012-2426-2065,9872.07
012-2426-2066,5933.91
012-2426-2067,7271.66
012-2426-2068,6561.24
012-2426-2069,3118.1
012-2426-2070,4724.29
012-2426-2071,3539.53
012-2426-2072,1508.69
012-2426-2073,7696.04
012-2426-2074,6121.01
012-2426-2075,10763.56
012-2426-2076,11402.62
012-2426-2077,8658.92
012-2426-2078,11235.52
012-2426-2079,4663.98
012-2426-2080,8472.63
012-2426-2081,0
012-2426-2082,5728.57
012-2426-2083,17950.2
012-2426-2084,2018.38
012-2426-2085,11991.06
012-2426-2086,0
012-2426-2087,0
012-2426-2088,0
012-2426-2089,0
012-2426-2090,5810.45
012-2426-2091,0
012-2426-2092,0
012-2426-2093,0
012-2426-2094,0
012-2426-2095,2622.58
012-2426-2096,0
012-2426-2097,0
012-2426-2098,0
012-2426-2099,10025.13
012-2426-2100,7835.55
012-2426-2101,6171.67
012-2426-2102,0
