phone,usage_this_month,usage_last_month
012-2426-2000,13043.38,9203.31
012-2426-2001,18915.19,24372.31
012-2426-2002,7190.39,8775.95
012-2426-2003,4951.79,5128.69
012-2426-2004,2207.14,3861.16
012-2426-2005,1256.47,3784.99
012-2426-2006,20272.94,24113.94
012-2426-2007,8816.06,8856.11
012-2426-2008,22479.63,18809.47
012-2426-2009,15481.36,22458.27
012-2426-2010,10584.95,18034.38
012-2426-2011,5144.22,6487.28
012-2426-2012,11391.07,14482.99
012-2426-2013,21601.1,18629.73
012-2426-2014,16752.55,20667.78
012-2426-2015,13258.9,10146.23
012-2426-2016,10555.07,8505.77
012-2426-2017,24572.37,16989.4
012-2426-2018,25712.15,34572.92
012-2426-2019,38247.62,10779.12
012-2426-2020,20299.54,13501
012-2426-2021,2126.25,2752.08
012-2426-2022,0,214.56
012-2426-2023,3216.71,6704.98
012-2426-2024,917.73,2426.89
012-2426-2025,0,0
012-2426-2026,15857.7,14325.17
012-2426-2027,5021.69,7417.52
012-2426-2028,6590.94,9036.54
012-2426-2029,2046.57,4460.72
012-2426-2030,6984.58,8665.34
012-2426-2031,2141.15,2165.33
012-2426-2032,11490.49,6838.62
012-2426-2033,14067.78,13930.87
012-2426-2034,4449.49,12731.71
012-2426-2035,21417.74,21681.21
012-2426-2036,8096.68,11295.64
012-2426-2037,20363.27,29106.98
012-2426-2038,4766.7,1337.65
012-2426-2039,16518.53,10652.66
012-2426-2040,1556.52,1894.82
012-2426-2041,5164.49,2258.63
012-2426-2042,5944.1,6855.86
012-2426-2043,11251.39,8768.09
012-2426-2044,8792.85,21318.96
012-2426-2045,1616.87,1389.02
012-2426-2046,8003.77,11050.9
012-2426-2047,7670.49,8591.42
012-2426-2048,8093.94,1585.15
012-2426-2049,495.98,189.79
012-2426-2050,0,0
012-2426-2051,75.85,4303.1
012-2426-2052,6235.75,5486.64
012-2426-2053,0,0
012-2426-2054,0,0
012-2426-2055,10759.21,7209.21
012-2426-2056,13742.19,8605.79
012-2426-2057,7418.9,5461.12
012-2426-2058,6442.39,5555.67
012-2426-2059,2772.58,2754.92
012-2426-2060,6970.86,6265.28
012-2426-2061,6604.86,6021.76
012-2426-2062,10098.05,10256.86
012-2426-2063,12711.59,11995.47
012-2426-2064,0,0
012-2426-2065,10546.24,9872.07
012-2426-2066,4439.39,5933.91
012-2426-2067,4970.08,7271.66
012-2426-2068,6382.24,6561.24
012-2426-2069,3522.42,3118.1
012-2426-2070,5582.13,4724.29
012-2426-2071,4371.5,3539.53
012-2426-2072,2039.86,1508.69
012-2426-2073,3138.62,7696.04
012-2426-2074,8646.36,6121.01
012-2426-2075,8585.22,10763.56
012-2426-2076,9820.77,11402.62
012-2426-2077,14564,8658.92
012-2426-2078,13085.45,11235.52
012-2426-2079,8040.69,4663.98
012-2426-2080,7774.45,8472.63
012-2426-2081,0,0
012-2426-2082,4485.96,5728.57
012-2426-2083,7818.1,17950.2
012-2426-2084,5012.06,2018.38
012-2426-2085,10658.8,11991.06
012-2426-2086,0,0
012-2426-2087,0,0
012-2426-2088,0,0
012-2426-2089,0,0
012-2426-2090,6288.87,5810.45
012-2426-2091,185.43,0
012-2426-2092,2153.79,0
012-2426-2093,0,0
012-2426-2094,0,0
012-2426-2095,1889.53,2622.58
012-2426-2096,0,0
012-2426-2097,0,0
012-2426-2098,2035.21,0
012-2426-2099,9617.04,10025.13
012-2426-2100,7357.92,7835.55
012-2426-2101,6324.21,6171.67
012-2426-2102,443.35,0
012-2426-2103,4415.65,7313.27
012-2426-2104,14481.26,26630.88
012-2426-2105,14724.14,13786.64
012-2426-2106,5828.32,15950.35
012-2426-2107,9195.38,9116.87
012-2426-2108,12527.12,7529.79
012-2426-2109,8246.96,2490.28
012-2426-2110,18237.83,21768.13
012-2426-2111,1272.06,3916.84
012-2426-2112,6793.71,5258.78
012-2426-2113,6319.91,7073.08
012-2426-2114,10203.66,17654.59
012-2426-2115,10365.84,7415.08
012-2426-2116,16015.21,19474.21
012-2426-2117,8097.32,7177.14
012-2426-2118,18706.05,12895.13
012-2426-2119,6399.42,14210.89
012-2426-2120,0,0
012-2426-2121,145.2,2386.46
012-2426-2122,0,0
012-2426-2123,10595.4,7553.52
012-2426-2124,20861.47,16851
012-2426-2125,0,0
012-2426-2126,0,0
012-2426-2127,0,0
012-2426-2128,0,0
012-2426-2129,9463.79,11254.15
012-2426-2130,7943.3,10281.12
012-2426-2131,0,0
012-2426-2132,0,0
012-2426-2133,10630.24,17244.73
012-2426-2134,9069.76,8623.59
012-2426-2135,0,0
012-2426-2136,7023.71,9415.21
012-2426-2137,2484.73,5254.69
012-2426-2138,8397.01,7423.51
012-2426-2139,6497.8,6372.23
012-2426-2140,6957.21,10489.86
012-2426-2141,837.04,1861.8
012-2426-2142,8603.2,7865
012-2426-2143,6599.91,4237.41
012-2426-2144,6643.2,7286.45
012-2426-2145,2583.56,1816.27
012-2426-2146,7077.76,3500.25
012-2426-2147,1767.32,8018.31
