phone,usage_this_month,usage_last_month
012-2426-2000,9203.31,11568.92
012-2426-2001,24372.31,7451.96
012-2426-2002,8775.95,3583.7
012-2426-2003,5128.69,9398.01
012-2426-2004,3861.16,7516.25
012-2426-2005,3784.99,1469.49
012-2426-2006,24113.94,9893.3
012-2426-2007,8856.11,5899.03
012-2426-2008,18809.47,20481.31
012-2426-2009,22458.27,8012.17
012-2426-2010,18034.38,17319.88
012-2426-2011,6487.28,13164
012-2426-2012,14482.99,19961.44
012-2426-2013,18629.73,30750.01
012-2426-2014,20667.78,15458.71
012-2426-2015,10146.23,8297.68
012-2426-2016,8505.77,14742.82
012-2426-2017,16989.4,15741.6
012-2426-2018,34572.92,6528.59
012-2426-2019,10779.12,15372.39
012-2426-2020,13501,13442.6
012-2426-2021,2752.08,8168.66
012-2426-2022,214.56,0
012-2426-2023,6704.98,8556.73
012-2426-2024,2426.89,7762.38
012-2426-2025,0,0
012-2426-2026,14325.17,4764.5
012-2426-2027,7417.52,8083.26
012-2426-2028,9036.54,12545.4
012-2426-2029,4460.72,7244.93
012-2426-2030,8665.34,8943.25
012-2426-2031,2165.33,3352.75
012-2426-2032,6838.62,9512.77
012-2426-2033,13930.87,12021.98
012-2426-2034,12731.71,16051.85
012-2426-2035,21681.21,10851.03
012-2426-2036,11295.64,11725.1
012-2426-2037,29106.98,15180.89
012-2426-2038,1337.65,2706.39
012-2426-2039,10652.66,14329.99
012-2426-2040,1894.82,3545.36
012-2426-2041,2258.63,3808.36
012-2426-2042,6855.86,6003.68
012-2426-2043,8768.09,6758.9
012-2426-2044,21318.96,11566.91
012-2426-2045,1389.02,4270.73
012-2426-2046,11050.9,11752.12
012-2426-2047,8591.42,8048.21
012-2426-2048,1585.15,4851.69
012-2426-2049,189.79,5444.6
012-2426-2050,0,9821.84
012-2426-2051,4303.1,3323.46
012-2426-2052,5486.64,6176
012-2426-2053,0,0
012-2426-2054,0,3558.89
012-2426-2055,7209.21,8958.9
012-2426-2056,8605.79,7762.85
012-2426-2057,5461.12,6413.48
012-2426-2058,5555.67,8531.29
012-2426-2059,2754.92,4713.76
012-2426-2060,6265.28,3816.79
012-2426-2061,6021.76,9212.47
012-2426-2062,10256.86,9449.34
012-2426-2063,11995.47,11296.28
012-2426-2064,0,10653.03
012-2426-2065,9872.07,12519.07
012-2426-2066,5933.91,11032.19
012-2426-2067,7271.66,7890.13
012-2426-2068,6561.24,7832.86
012-2426-2069,3118.1,4393.54
012-2426-2070,4724.29,11760.55
012-2426-2071,3539.53,9359.51
012-2426-2072,1508.69,6380.08
012-2426-2073,7696.04,9049.25
012-2426-2074,6121.01,14815.28
012-2426-2075,10763.56,7415.65
012-2426-2076,11402.62,12055.19
012-2426-2077,8658.92,9607.23
012-2426-2078,11235.52,10367.53
012-2426-2079,4663.98,5312.86
012-2426-2080,8472.63,11391.57
012-2426-2081,0,0
012-2426-2082,5728.57,3685.75
012-2426-2083,17950.2,7544.38
012-2426-2084,2018.38,4546.58
012-2426-2085,11991.06,13393.56
012-2426-2086,0,0
012-2426-2087,0,0
012-2426-2088,0,6856.74
012-2426-2089,0,9861.56
012-2426-2090,5810.45,10887.5
012-2426-2091,0,1329.93
012-2426-2092,0,8487.62
012-2426-2093,0,7036.73
012-2426-2094,0,6177.69
012-2426-2095,2622.58,7325.34
012-2426-2096,0,9658.73
012-2426-2097,0,7150.24
012-2426-2098,0,10538.65
012-2426-2099,10025.13,9183.56
012-2426-2100,7835.55,19452.07
012-2426-2101,6171.67,15940.48
012-2426-2102,0,0
012-2426-2103,7313.27,11421.76
012-2426-2104,26630.88,11839.9
012-2426-2105,13786.64,5553.18
012-2426-2106,15950.35,8290.64
012-2426-2107,9116.87,10124.8
012-2426-2108,7529.79,12263.27
012-2426-2109,2490.28,9420.11
012-2426-2110,21768.13,25623.07
012-2426-2111,3916.84,2984.05
012-2426-2112,5258.78,8376.96
012-2426-2113,7073.08,7046.2
012-2426-2114,17654.59,10342.85
012-2426-2115,7415.08,8102.4
012-2426-2116,19474.21,18921.97
012-2426-2117,7177.14,9004.69
012-2426-2118,12895.13,7520.86
012-2426-2119,14210.89,9281.75
012-2426-2120,0,9669.08
012-2426-2121,2386.46,7029.55
012-2426-2122,0,9669.18
012-2426-2123,7553.52,10563.45
012-2426-2124,16851,20686.73
012-2426-2125,0,9392.42
012-2426-2126,0,0
012-2426-2127,0,4474.67
012-2426-2128,0,1885.85
012-2426-2129,11254.15,10425.07
012-2426-2130,10281.12,7055.72
012-2426-2131,0,8981.73
012-2426-2132,0,0
012-2426-2133,17244.73,11095.88
012-2426-2134,8623.59,10570.05
012-2426-2135,0,0
012-2426-2136,9415.21,12157.12
012-2426-2137,5254.69,1902.56
012-2426-2138,7423.51,6470.7
012-2426-2139,6372.23,8225.3
012-2426-2140,10489.86,30072.98
012-2426-2141,1861.8,5413.67
012-2426-2142,7865,9429.23
012-2426-2143,4237.41,5674.02
012-2426-2144,7286.45,5848.7
012-2426-2145,1816.27,1.55
012-2426-2146,3500.25,7148.51
012-2426-2147,8018.31,4767.95
012-2426-2148,4944.99,6149.42
012-2426-2149,0,7299.31
012-2426-2150,0,5326.18
012-2426-2151,0,4310.12
012-2426-2152,0,8996.06
012-2426-2153,0,11496.68
012-2426-2154,0,12638.02
012-2426-2155,0,7228.45
012-2426-2156,0,7382.07
012-2426-2157,0,0
012-2426-2158,5600.17,6787.88
012-2426-2159,0,7727
012-2426-2160,8709.49,6263.45
012-2426-2161,9221.32,7505.7
012-2426-2162,14856.45,8776.1
012-2426-2163,16561.27,16745.77
012-2426-2164,6588.7,5290.08
012-2426-2165,18560.05,9106.48
012-2426-2166,22866.65,32863.86
012-2426-2167,1824.78,3626.11
012-2426-2168,0.54,795.04
012-2426-2169,6721.85,12049.33
012-2426-2170,5589.12,5707.55
012-2426-2171,7414.72,994.21
012-2426-2172,6645.32,10468.08
012-2426-2173,27096.09,30632.5
012-2426-2174,3147.34,5804
012-2426-2175,7133.53,5293.63
012-2426-2176,18920.79,15196.8
012-2426-2177,5453.51,6399.7
012-2426-2178,7226.16,6430.87
012-2426-2179,15611.89,9021.82
012-2426-2180,13315.48,9033.56
012-2426-2181,14937.68,3078.94
012-2426-2182,643.97,2530.04
012-2426-2183,16387.19,24269.13
012-2426-2184,6639.84,18659.02
012-2426-2185,19427.29,32934.79
012-2426-2186,5073.26,5370.1
012-2426-2187,0,0
012-2426-2188,13834.95,9976.78
012-2426-2189,12728.28,7044.18
012-2426-2190,0,9190.07
012-2426-2191,7985.06,9036.04
012-2426-2192,1782.04,4543.94
012-2426-2193,1302.81,11153.91
012-2426-2194,5618.21,8537.2
012-2426-2195,2285.4,3189.31
012-2426-2196,15886.68,11749.3
012-2426-2197,5099.04,5388.69
012-2426-2198,5476.42,4812.87
012-2426-2199,15534.87,9808.33
012-2426-2200,12281.69,4557.71
012-2426-2201,12954.81,22113.44
012-2426-2202,4021.89,3685.46
012-2426-2203,20069.02,15654.14
012-2426-2204,10456.02,9317.79
012-2426-2205,12789.87,19443.6
012-2426-2206,21195.04,8547.71
012-2426-2207,5076.92,2934.12
012-2426-2208,14874.79,8766.65
012-2426-2209,9983.78,12198.8
012-2426-2210,7183.12,8218.23
012-2426-2211,5339.25,7679.01
012-2426-2212,3423.26,3049.89
012-2426-2213,15706.23,25340.31
012-2426-2214,29545.41,26470.71
012-2426-2215,2253.55,2227.27
012-2426-2216,12589.52,11678.11
012-2426-2217,30341.35,10581.7
012-2426-2218,4619.28,6591.32
012-2426-2219,13602.93,12130.92
012-2426-2220,2002.4,20984.28
012-2426-2221,12474.83,9431.79
012-2426-2222,12767.72,22326.78
012-2426-2223,5528.92,10129.94
012-2426-2224,23989.04,12008.54
012-2426-2225,26774.71,9993.22
012-2426-2226,8525.59,7509.9
012-2426-2227,6779.37,7551.1
012-2426-2228,17136.93,18991.06
012-2426-2229,20859.02,17062.85
012-2426-2230,5662.41,2692.72
012-2426-2231,6910.47,5394.39
012-2426-2232,19885.92,10610.85
012-2426-2233,5726.27,5727.96
012-2426-2234,216.68,1221.04
012-2426-2235,20889.69,12071.17
012-2426-2236,17569.04,15511.03
012-2426-2237,14600.79,25050.93
012-2426-2238,1817.54,3091.4
012-2426-2239,16467.73,10476.65
